id_municipio,f0_,f1_
1711902,13155600.0,4453
1711951,3800400.0,1322
1712009,2896800.0,1138
1712157,1583400.0,567
1712405,3610200.0,1253
1712454,2839200.0,987
1712504,4420800.0,1510
1712702,2181000.0,806
1712801,3877200.0,1349
1713205,19514400.0,6802
1713304,14247000.0,5097
1713601,6412800.0,2111
1713700,2896800.0,984
1713957,3632400.0,1209
1714203,8684400.0,2989
1714302,5100000.0,1753
1714880,11373000.0,3754
1715002,4146600.0,1373
1715101,4375800.0,1530
1715150,1776600.0,626
1715259,2610600.0,858
1715507,1381800.0,479
1721000,238605600.0,70804
1715705,5469600.0,1898
1713809,6931200.0,2085
1715754,7706400.0,2857
1716109,44386200.0,16177
1716208,12317400.0,3837
1716307,4812000.0,1638
1716505,12540000.0,4526
1716604,9343800.0,3259
1716653,5878800.0,2051
1717008,4709400.0,1675
1717206,3129000.0,961
1717503,5693400.0,2163
1717800,4995600.0,1599
1717909,7291200.0,2577
1718006,2912400.0,931
1718204,58905000.0,20116
1718303,7894800.0,2629
1718402,3559200.0,1261
1718451,2281800.0,796
1718501,4027200.0,1357
1718550,4791000.0,1636
1718659,1734000.0,594
1718709,2953800.0,1058
1718758,5662200.0,1903
1718808,5840400.0,1751
1718840,3813000.0,1413
1718865,6749400.0,2413
1718881,2785800.0,1011
1718907,4913400.0,1602
1719004,2521800.0,938
1720002,2448000.0,882
1720101,5320800.0,1878
1720150,1621200.0,591
1720200,13551000.0,4144
1720259,2694000.0,919
1720309,5689800.0,1790
1720499,4865400.0,1567
1720655,6243000.0,1916
1720804,10666800.0,3551
1720853,1575000.0,536
1720903,17742600.0,5526
1720937,1896600.0,677
1720978,2652000.0,960
1721109,7862400.0,2595
1721208,23182800.0,7411
1721257,1487400.0,550
1721307,2172600.0,764
1722081,11707800.0,3567
1722107,13053600.0,4206
1100015,23514000.0,8744
1100379,10770000.0,4105
1100403,17547000.0,6508
1100346,15249000.0,5341
1100023,92725800.0,31443
1100452,35070600.0,13234
1100031,4624800.0,1846
1100601,4452000.0,1770
1100049,69936000.0,25343
1100700,9808800.0,3858
1100809,30217800.0,9500
1100908,3034200.0,1157
1100056,15190200.0,5737
1100924,7212600.0,2693
1100064,12891600.0,5286
1100072,6661200.0,2527
1100080,15650400.0,5092
1100940,18173400.0,6625
1100098,27036600.0,10211
1101005,9401400.0,3417
1100106,45115200.0,14932
1101104,9309000.0,3266
1100114,46114800.0,17014
1100122,102942000.0,36011
1100130,33489000.0,12251
1101203,6535800.0,2514
1101302,11476200.0,4326
1101401,12397800.0,4916
1100148,17199000.0,6251
1100338,26695800.0,9840
1101435,6828000.0,2737
1100502,8006400.0,2980
1100155,32123400.0,12451
1101450,3793800.0,1423
1100189,26781600.0,10447
1101468,2054400.0,702
1100205,498048000.0,97345
1100254,20976600.0,7442
1101476,3004800.0,1147
1100262,3271800.0,1215
1100288,44913600.0,16961
1100296,6881400.0,2639
1101484,4170000.0,1745
1101492,16587600.0,6088
1100320,19579200.0,7593
1101500,12552600.0,4693
1101559,4110600.0,1604
1101609,8363400.0,3312
1101708,11234400.0,4278
1101757,8698200.0,3287
1101807,7249200.0,2761
1100304,73970400.0,26205
5300108,1944685800.0,229864
1718899,1967400.0,711
5000203,12814800.0,4484
5000252,4329600.0,1614
5000609,35021400.0,11475
5000708,22644000.0,8002
5000807,6190200.0,2264
5000856,9528600.0,3298
5000906,9952800.0,3482
5001003,20164800.0,7363
5001102,39470400.0,14421
5001243,9042600.0,2919
5001508,5903400.0,2240
5001904,19576200.0,7194
5002001,9622800.0,3282
5002100,22467000.0,7422
5002159,7191600.0,2611
5002209,17331000.0,6956
5002308,9872400.0,3353
5002407,22022400.0,8018
5002605,12100200.0,4305
5002704,679938000.0,119094
5002803,5185200.0,1795
5002902,16050600.0,6224
5002951,18115800.0,7099
5003108,3872400.0,1440
5003157,17979000.0,5645
5003207,95607000.0,29687
5003256,20607600.0,7042
5003306,31245000.0,10921
5003454,10738800.0,4064
5003488,11084400.0,3784
5003504,4937400.0,1894
5003702,178513200.0,54223
5003751,10533000.0,3888
5003801,17401200.0,6597
5003900,2005800.0,769
5004007,7888200.0,3132
5004106,10607400.0,3538
5004304,11809800.0,4276
5004403,5587200.0,2113
5004502,11299800.0,4762
5004601,16227000.0,6198
5004700,18661200.0,7268
5004809,9563400.0,3089
5004908,4022400.0,1586
5005004,22539600.0,8148
5005103,2687400.0,1001
5005152,6677400.0,2237
5005202,16075800.0,5358
5005251,4716600.0,1677
5005400,27848400.0,10702
5005608,28308600.0,8500
5005681,19032600.0,7130
5005707,40787400.0,14711
5005806,13443600.0,4577
5006002,17950200.0,6619
5006200,36633000.0,13124
5006259,3335400.0,1376
5006275,3324000.0,1256
5006309,30730200.0,11588
5006358,13367400.0,4093
5006408,7047000.0,2390
5006606,101324400.0,33562
5006903,10409400.0,3672
5007109,16477800.0,5820
5007208,27640200.0,10054
5007307,3943200.0,1516
5007406,17998200.0,6067
5007505,3895800.0,1485
5007554,4324800.0,1717
5007695,19097400.0,7295
5007802,5371200.0,2095
5007703,9168000.0,3604
5007901,38935200.0,13182
5007935,11285400.0,4091
5007950,11246400.0,3389
5007976,2977800.0,1118
5008008,13712400.0,5150
5008305,95314800.0,33424
5008404,5586600.0,2119
4200051,1767000.0,734
4200101,13945800.0,4769
4200200,5007600.0,2194
4200309,2409600.0,1092
4200408,2862000.0,1228
4200507,3733200.0,1458
4200556,1281000.0,567
4200606,3269400.0,1563
4200705,6063000.0,2649
4200804,2924400.0,1266
4200903,3030600.0,1430
4201000,7130400.0,2545
4201109,2159400.0,897
4201208,4896600.0,2142
4201257,4295400.0,1870
4201273,1372200.0,666
4201307,23524800.0,9255
4201406,43284600.0,17435
4201505,4133400.0,1685
4201604,1131000.0,522
4201703,3675000.0,1608
4201802,1422600.0,631
4201901,2462400.0,1145
4201950,10745400.0,4445
4202057,10159800.0,4070
4202008,82744200.0,34036
4202073,10127400.0,4202
4212809,17753400.0,7300
4220000,7421400.0,2653
4202081,1593600.0,653
4202099,797400.0,346
4202107,28492200.0,11690
4202131,5413800.0,2195
4202206,3491400.0,1558
4202305,46034400.0,17750
4202404,156070200.0,54302
4202438,2530200.0,982
4202503,3111000.0,1246
4202537,2071800.0,752
4202578,1014000.0,429
4202602,6294000.0,2337
4202453,15763200.0,6959
4202701,2436600.0,1053
4202800,14707800.0,6145
4202859,1352400.0,585
4202875,1996200.0,787
4202909,62739600.0,24810
4203006,38638200.0,14415
4203105,3123600.0,1252
4203154,2612400.0,958
4203204,63774000.0,24931
4203303,6803400.0,2919
4203402,5695800.0,2273
4203501,6324600.0,2289
4203600,18747000.0,7619
4203709,8322600.0,3167
4203808,34798800.0,13431
4203253,1523400.0,636
4203907,9784200.0,3997
4203956,12361800.0,5309
4204004,5563200.0,2213
4204103,2608200.0,985
4204152,1982400.0,802
4204178,3233400.0,1277
4204194,1443000.0,671
4204202,111190800.0,40253
4204251,7249800.0,3205
4204301,28429200.0,11723
4204350,1906800.0,832
4204400,4980600.0,2039
4204459,1372800.0,597
4204558,11032800.0,3924
4204509,7357800.0,3195
4204608,107770200.0,38712
4204707,4177200.0,1857
4204756,586800.0,294
4204806,26945400.0,9610
4204905,3316200.0,1459
4205001,10566600.0,4298
4205100,1417200.0,632
4205159,1332000.0,649
4205175,3192600.0,1065
4205191,1587600.0,634
4205209,2007600.0,912
4205308,5353200.0,2203
4205357,867000.0,365
4205407,315823800.0,105650
4205431,1458000.0,627
4205456,13904400.0,5945
4205506,18655800.0,7196
4205555,1518600.0,634
4205605,2053200.0,821
4205704,19950000.0,8419
4205803,11329200.0,4510
4205902,35052600.0,14247
4206009,9679800.0,4083
4206108,2808600.0,1270
4206207,5752800.0,2478
4206306,10672800.0,4393
4206405,3414600.0,1522
4206504,21904800.0,8754
4206603,2457600.0,1064
4206652,3268800.0,1328
4206702,9639000.0,3905
4206751,998400.0,431
4206801,1348200.0,574
4206900,7323000.0,3157
4207007,33717000.0,13711
4207106,9157200.0,3743
