ano,sigla_uf,vagas,id_municipio_tse
2000,BA,9,39756
2000,BA,9,37010
2000,BA,11,37036
2000,BA,11,37052
2000,BA,9,37079
2000,BA,11,37095
2000,BA,9,39772
2000,BA,13,37117
2000,BA,13,37133
2000,BA,11,37150
2000,BA,9,37176
2000,BA,11,37192
2000,BA,13,37214
2000,BA,9,37222
2000,BA,13,37230
2000,BA,13,37257
2000,BA,9,37273
2000,BA,11,37290
2000,BA,9,37303
2000,BA,15,37311
2000,BA,9,37338
2000,BA,13,37354
2000,BA,11,37370
2000,BA,9,37397
2000,BA,13,37419
2000,BA,9,37427
2000,BA,13,37435
2000,BA,9,37451
2000,BA,9,37460
2000,BA,13,37478
2000,BA,11,37494
2000,BA,13,37516
2000,BA,11,37532
2000,BA,9,39799
2000,BA,11,37559
2000,BA,9,37567
2000,BA,9,39969
2000,BA,9,37575
2000,BA,9,37583
2000,BA,11,37591
2000,BA,13,37613
2000,BA,9,39942
2000,BA,9,37621
2000,BA,11,37630
2000,BA,11,37656
2000,BA,9,37672
2000,BA,11,37915
2000,BA,9,37680
2000,BA,11,37699
2000,BA,9,37710
2000,BA,11,37737
2000,BA,13,37753
2000,BA,13,37770
2000,BA,11,37796
2000,BA,17,37818
2000,BA,11,39810
2000,BA,9,37834
2000,BA,9,37850
2000,BA,11,37877
2000,BA,13,37893
2000,BA,11,37931
2000,BA,9,39837
2000,BA,11,37940
2000,BA,9,37958
2000,BA,11,37974
2000,BA,9,37990
2000,BA,11,38016
2000,BA,13,38032
2000,BA,13,38059
2000,BA,9,38067
2000,BA,15,38075
2000,BA,11,38091
2000,BA,13,38113
2000,BA,11,38130
2000,BA,9,38156
2000,BA,11,38164
2000,BA,13,38172
2000,BA,11,38199
2000,BA,9,39845
2000,BA,11,39853
2000,BA,13,38210
2000,BA,11,38237
2000,BA,11,38253
2000,BA,13,38270
2000,BA,13,38296
2000,BA,9,38318
2000,BA,13,38334
2000,BA,9,38342
2000,BA,11,38350
2000,BA,11,38377
2000,BA,11,38393
2000,BA,13,38415
2000,BA,9,38431
2000,BA,13,38458
2000,BA,9,38474
2000,BA,35,38490
2000,BA,11,38512
2000,BA,11,38539
2000,BA,11,38555
2000,BA,9,38571
2000,BA,11,38598
2000,BA,11,39870
2000,BA,13,38636
2000,BA,11,35491
2000,BA,11,38695
2000,BA,13,38610
2000,BA,13,38652
2000,BA,11,38679
2000,BA,15,38717
2000,BA,19,38733
2000,BA,13,38750
2000,BA,11,38776
2000,BA,9,38806
2000,BA,11,38814
2000,BA,11,38792
2000,BA,9,38822
2000,BA,13,38830
2000,BA,11,39896
2000,BA,13,38857
2000,BA,9,39926
2000,BA,9,38865
2000,BA,11,38873
2000,BA,13,38890
2000,BA,11,38911
2000,BA,11,38938
2000,BA,9,38946
2000,BA,9,38954
2000,BA,13,38970
2000,BA,9,38997
2000,BA,15,39012
2000,BA,13,39039
2000,BA,13,39047
2000,BA,11,39055
2000,BA,11,39071
2000,BA,15,39098
2000,BA,9,39110
2000,BA,15,39136
2000,BA,9,39144
2000,BA,9,39900
2000,BA,13,39985
2000,BA,11,39152
2000,BA,9,39179
2000,BA,11,39195
2000,BA,9,39918
2000,BA,9,39217
2000,BA,11,39233
2000,BA,9,39250
2000,BA,17,39934
2000,BA,9,39276
2000,BA,11,39292
2000,BA,9,39314
2000,BA,11,39330
2000,BA,13,39357
2000,BA,13,39373
2000,BA,13,39390
2000,BA,11,39411
2000,BA,11,39438
2000,BA,13,39454
2000,BA,11,39470
2000,BA,11,39489
2000,BA,13,39497
2000,BA,11,39519
2000,BA,13,39535
2000,BA,11,39551
2000,BA,15,39578
2000,BA,13,39594
2000,BA,11,39977
2000,BA,11,39616
2000,BA,11,39950
2000,BA,9,39624
2000,BA,13,39632
2000,BA,9,39640
2000,BA,19,39659
2000,BA,9,39675
2000,BA,11,39993
2000,BA,11,39691
2000,BA,13,39713
2000,AP,9,6017
2000,AP,9,6084
2000,AP,9,6033
2000,AP,9,6068
2000,AP,9,6114
2000,AP,9,6041
2000,AP,13,6130
2000,AP,17,6050
2000,AP,9,6076
2000,AP,11,6092
2000,AP,9,6025
2000,AP,9,6009
2000,AP,17,6157
2000,AP,9,6106
2000,AP,9,6173
2000,AP,9,6122
2000,MA,15,9610
2000,MA,9,7013
2000,MA,9,7005
2000,MA,11,7030
2000,MA,11,7056
2000,MA,11,7072
2000,MA,9,7021
2000,MA,9,7048
2000,MA,9,7099
2000,MA,9,7080
2000,MA,11,7110
2000,MA,11,7137
2000,MA,11,7153
2000,MA,9,7064
2000,MA,9,7102
2000,MA,11,7170
2000,MA,11,9679
2000,MA,13,7196
2000,MA,9,7218
2000,MA,15,7234
2000,MA,9,7129
2000,MA,11,7250
2000,MA,9,7145
2000,MA,13,7277
2000,MA,11,7293
2000,MA,15,7315
2000,MA,13,7331
2000,MA,9,7188
2000,MA,9,7161
2000,MA,9,7358
2000,MA,11,7374
2000,MA,9,7200
2000,MA,9,7323
2000,MA,13,9555
2000,MA,9,7269
2000,MA,9,7285
2000,MA,13,7390
2000,MA,9,7307
2000,MA,11,7412
2000,MA,11,7439
2000,MA,9,7340
2000,MA,9,7366
2000,MA,9,7226
2000,MA,11,7455
2000,MA,11,7471
2000,MA,9,7382
2000,MA,13,7498
2000,MA,11,7510
2000,MA,9,7404
2000,MA,11,7536
2000,MA,13,7552
2000,MA,17,7579
2000,MA,9,7595
2000,MA,9,7420
2000,MA,9,7447
2000,MA,9,7463
2000,MA,15,7617
2000,MA,9,7480
2000,MA,17,7633
2000,MA,13,7650
2000,MA,13,7676
2000,MA,9,7501
2000,MA,15,7692
2000,MA,13,7714
2000,MA,9,7242
2000,MA,11,7730
2000,MA,9,7757
2000,MA,13,7773
2000,MA,13,9636
2000,MA,9,7528
2000,MA,9,7544
2000,MA,9,7560
2000,MA,9,7790
2000,MA,11,7811
2000,MA,11,7838
2000,MA,11,7854
2000,MA,9,7870
2000,MA,9,7609
2000,MA,11,7897
2000,MA,9,7625
2000,MA,9,7641
2000,MA,9,7668
2000,MA,9,7919
2000,MA,13,7935
2000,MA,9,7951
2000,MA,11,7978
2000,MA,11,7994
2000,MA,9,7684
2000,MA,11,8010
2000,MA,19,8036
2000,MA,9,7706
2000,MA,13,8079
2000,MA,9,7722
2000,MA,9,7749
2000,MA,9,7765
2000,MA,15,8095
2000,MA,11,8117
2000,MA,9,7781
2000,MA,13,8133
2000,MA,11,8150
2000,MA,9,7803
2000,MA,11,8176
2000,MA,9,7820
2000,MA,9,7846
2000,MA,9,7862
2000,MA,11,8192
2000,MA,9,8214
2000,MA,9,8230
2000,MA,11,8257
2000,MA,9,7889
2000,MA,9,7900
2000,MA,9,7927
2000,MA,11,8273
2000,MA,11,8290
2000,MA,11,8311
2000,MA,9,7943
2000,MA,9,7960
2000,MA,11,8338
2000,MA,11,9695
2000,MA,9,8354
2000,MA,11,8370
2000,MA,11,8397
2000,MA,11,8419
2000,MA,9,8435
2000,MA,9,7986
2000,MA,9,8451
2000,MA,9,8001
2000,MA,13,8478
2000,MA,9,8028
2000,MA,13,8494
2000,MA,11,8516
2000,MA,11,8532
2000,MA,13,8559
2000,MA,11,8575
2000,MA,11,8591
2000,MA,9,8044
2000,MA,13,9598
2000,MA,15,8613
2000,MA,9,8060
2000,MA,13,8630
2000,MA,11,8656
2000,MA,9,8087
2000,MA,15,8672
2000,MA,15,8699
2000,MA,13,8710
2000,MA,11,8737
2000,MA,13,8753
2000,MA,13,8770
2000,MA,9,8109
2000,MA,13,8796
2000,MA,9,8818
2000,MA,9,8125
2000,MA,11,8141
2000,MA,9,8834
2000,MA,11,8850
2000,MA,9,8168
2000,MA,11,8877
2000,MA,9,8184
2000,MA,13,8915
2000,MA,9,8931
2000,MA,9,8206
2000,MA,13,8958
2000,MA,15,9571
2000,MA,15,8974
2000,MA,13,9652
2000,MA,11,8990
2000,MA,11,9016
2000,MA,9,8222
2000,MA,9,8249
2000,MA,11,9032
2000,MA,11,9059
2000,MA,13,9075
2000,MA,11,9091
2000,MA,9,8265
2000,MA,13,9113
2000,MA,9,9130
2000,MA,9,8281
2000,MA,11,9156
2000,MA,11,9172
2000,MA,9,8303
2000,MA,9,8320
2000,MA,9,8346
2000,MA,13,9199
2000,MA,13,8893
2000,MA,9,8362
2000,MA,21,9210
2000,MA,13,8052
2000,MA,13,9237
2000,MA,9,8389
2000,MA,9,8400
2000,MA,9,8427
2000,MA,11,9253
2000,MA,9,8443
2000,MA,11,9270
2000,MA,9,8460
2000,MA,9,8486
2000,MA,9,8508
2000,MA,9,8524
2000,MA,11,9296
2000,MA,9,9318
2000,MA,9,8540
2000,MA,9,9334
2000,MA,11,9350
2000,MA,17,9377
2000,MA,9,8567
2000,MA,9,8583
2000,MA,13,9393
2000,MA,13,9415
2000,MA,9,8605
2000,MA,13,9431
2000,MA,11,9458
2000,MA,13,9474
2000,MA,13,9490
2000,MA,9,8621
2000,MA,13,9512
2000,MA,13,9539
2000,MA,15,9717
2000,AM,9,2895
2000,AM,9,2917
2000,AM,11,2933
2000,AM,9,2038
2000,AM,9,2003
2000,AM,9,2054
2000,AM,9,2070
2000,AM,9,2097
2000,AM,9,2119
2000,AM,13,2135
2000,AM,9,2950
2000,AM,9,2976
2000,AM,9,2151
2000,AM,9,2178
2000,AM,9,2992
2000,AM,9,2194
2000,AM,9,2216
2000,AM,9,2232
2000,AM,9,2046
2000,AM,11,2259
2000,AM,9,2275
2000,AM,11,2291
2000,AM,9,2313
2000,AM,9,2330
2000,AM,9,2020
2000,AM,11,2356
2000,AM,9,2399
2000,AM,11,98353
2000,AM,15,2410
2000,AM,9,98370
2000,AM,9,2437
2000,AM,9,2453
2000,AM,9,2470
2000,AM,9,2496
2000,AM,11,2518
2000,AM,13,2534
2000,AM,9,98396
2000,AM,33,2550
2000,AM,11,2577
2000,AM,9,2593
2000,AM,13,2615
2000,AM,9,2631
2000,AM,9,2658
2000,AM,9,2674
2000,AM,9,2011
2000,AM,13,2690
2000,AM,9,2712
2000,AM,9,98418
2000,AM,9,98434
2000,AM,9,2372
2000,AM,11,2739
2000,AM,9,2836
2000,AM,9,2755
2000,AM,9,98450
2000,AM,9,2771
2000,AM,13,98477
2000,AM,9,2798
2000,AM,15,2810
2000,AM,9,98515
2000,AM,9,98493
2000,AM,9,2852
2000,AM,9,2879
2000,CE,9,13013
2000,CE,9,13145
2000,CE,17,13030
2000,CE,21,13056
2000,CE,13,13072
2000,CE,9,13099
2000,CE,9,13110
2000,CE,11,13137
2000,CE,15,15873
2000,CE,9,13153
2000,CE,11,13170
2000,CE,19,13196
2000,CE,19,13218
2000,CE,15,13234
2000,CE,9,13420
2000,CE,11,13250
2000,CE,11,13277
2000,CE,9,13293
2000,CE,11,13315
2000,CE,15,13331
2000,CE,9,13358
2000,CE,11,13382
2000,CE,17,13374
2000,CE,11,13129
2000,CE,15,13390
2000,CE,11,13404
2000,CE,15,13412
2000,CE,17,13439
2000,CE,13,13455
2000,CE,19,13471
2000,CE,17,13498
2000,CE,19,13510
2000,CE,15,13536
2000,CE,21,13552
2000,CE,13,13579
2000,CE,11,13595
2000,CE,15,13617
2000,CE,15,13633
2000,CE,15,13650
2000,CE,11,13676
2000,CE,17,13692
2000,CE,9,13714
2000,CE,21,13730
2000,CE,13,13757
2000,CE,11,13773
2000,CE,11,13463
2000,CE,11,13161
2000,CE,15,13811
2000,CE,21,13838
2000,CE,21,13854
2000,CE,9,15881
2000,CE,15,15890
2000,CE,9,15989
2000,CE,9,13200
2000,CE,11,13226
2000,CE,13,13870
2000,CE,11,15911
2000,CE,41,13897
2000,CE,11,13501
2000,CE,11,13919
2000,CE,9,13935
2000,CE,11,13064
2000,CE,9,13978
2000,CE,19,13951
2000,CE,11,13994
2000,CE,11,13242
2000,CE,15,14010
2000,CE,9,14036
2000,CE,11,14052
2000,CE,13,13188
2000,CE,11,14060
2000,CE,11,14079
2000,CE,11,15920
2000,CE,11,15938
2000,CE,21,14095
2000,CE,21,14117
2000,CE,15,14133
2000,CE,9,13340
2000,CE,11,14150
2000,CE,17,14176
2000,CE,17,14192
2000,CE,11,14214
2000,CE,11,14230
2000,CE,9,14257
2000,CE,13,13480
2000,CE,17,14273
2000,CE,21,14290
2000,CE,11,14311
2000,CE,11,15954
2000,CE,11,14338
2000,CE,11,14354
2000,CE,11,14370
2000,CE,17,14397
2000,CE,15,14419
2000,CE,15,14435
2000,CE,11,14451
2000,CE,11,13005
2000,CE,21,14478
2000,CE,15,14494
2000,CE,17,14516
2000,CE,19,14532
2000,CE,11,13021
2000,CE,21,15857
2000,CE,21,14559
2000,CE,11,14575
2000,CE,9,14591
2000,CE,15,14613
2000,CE,17,14630
2000,CE,11,14656
2000,CE,15,14672
2000,CE,11,15970
2000,CE,11,14680
2000,CE,17,14699
2000,CE,19,14710
2000,CE,11,14737
2000,CE,21,14753
2000,CE,9,14770
2000,CE,11,14796
2000,CE,11,14818
2000,CE,9,14834
2000,CE,11,14850
2000,CE,21,14877
2000,CE,15,14893
2000,CE,11,13307
2000,CE,15,14915
2000,CE,17,14931
2000,CE,17,14958
2000,CE,11,14974
2000,CE,9,14990
2000,CE,9,15016
2000,CE,11,15032
2000,CE,15,15059
2000,CE,15,15997
2000,CE,17,15075
2000,CE,11,15091
2000,CE,17,15113
2000,CE,9,15130
2000,CE,17,15156
2000,CE,11,15172
2000,CE,13,13285
2000,CE,11,15199
2000,CE,9,13048
2000,CE,11,15210
2000,CE,11,15237
2000,CE,9,15253
2000,CE,9,13269
2000,CE,11,13102
2000,CE,21,15270
2000,CE,11,98531
