CodMun,REGIAO,COD UF,UF,NOME MUNIC,POP EST,CLASSE POP
1302306,1 - Norte,13,Amazonas,Jutaí,14317,3 - 10001 até 20000
1302405,1 - Norte,13,Amazonas,Lábrea,46069,4 - 20001 até 50000
1302504,1 - Norte,13,Amazonas,Manacapuru,97377,5 - 50001 até 100000
1302553,1 - Norte,13,Amazonas,Manaquiri,32105,4 - 20001 até 50000
1302603,1 - Norte,13,Amazonas,Manaus,2182763,7 - Maior que 500000
1302702,1 - Norte,13,Amazonas,Manicoré,55751,5 - 50001 até 100000
1302801,1 - Norte,13,Amazonas,Maraã,18224,3 - 10001 até 20000
1302900,1 - Norte,13,Amazonas,Maués,63905,5 - 50001 até 100000
1303007,1 - Norte,13,Amazonas,Nhamundá,21173,4 - 20001 até 50000
1303106,1 - Norte,13,Amazonas,Nova Olinda do Norte,37378,4 - 20001 até 50000
1303205,1 - Norte,13,Amazonas,Novo Airão,19454,3 - 10001 até 20000
1303304,1 - Norte,13,Amazonas,Novo Aripuanã,25644,4 - 20001 até 50000
1303403,1 - Norte,13,Amazonas,Parintins,114273,6 - 100001 até 500000
1303502,1 - Norte,13,Amazonas,Pauini,19426,3 - 10001 até 20000
1303536,1 - Norte,13,Amazonas,Presidente Figueiredo,36279,4 - 20001 até 50000
1303569,1 - Norte,13,Amazonas,Rio Preto da Eva,33347,4 - 20001 até 50000
1303601,1 - Norte,13,Amazonas,Santa Isabel do Rio Negro,25156,4 - 20001 até 50000
1303700,1 - Norte,13,Amazonas,Santo Antônio do Içá,21602,4 - 20001 até 50000
1303809,1 - Norte,13,Amazonas,São Gabriel da Cachoeira,45564,4 - 20001 até 50000
1303908,1 - Norte,13,Amazonas,São Paulo de Olivença,39299,4 - 20001 até 50000
1303957,1 - Norte,13,Amazonas,São Sebastião do Uatumã,14020,3 - 10001 até 20000
1304005,1 - Norte,13,Amazonas,Silves,9171,2 - 5001 até 10000
1304062,1 - Norte,13,Amazonas,Tabatinga,65844,5 - 50001 até 100000
1304104,1 - Norte,13,Amazonas,Tapauá,17156,3 - 10001 até 20000
